drug,metabolite,drug_name,metabolite_name,chembl_id,uniprot_id,bioactivity_type,bioactivity_drug,bioactivity_metabolite,relation_drug,relation_metabolite,source_drug,source_metabolite,source_lagom,logp_drug,logp_metabolite,tpsa_drug,tpsa_metabolite,logd_drug,logd_metabolite,target_classification,template r=0,subset
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CC1COc2c(N3CCNCC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,OFLOXACIN,DESMETHYL-OFLOXACIN,CHEMBL3396,Q02880,pIC50,5.56,5.77,=,=,BindingDB,BindingDB,DrugBank,1.54,1.2,75.01,83.8,0.887,0.856,enzyme  isomerase,C-[N;H0;D3;+0:1]>>[NH;D2;+0:1],DM- set
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1S2,QUETIAPINE,N/A,CHEMBL217,P14416,pKi,6.57,7.43,=,=,Both,BindingDB,DrugBank,2.86,3.13,48.3,27.63,3.162,2.935,membrane receptor  7tm1  smallmol  monoamine receptor  dopamine receptor,O-C-C-O-C-C-[N;H0;D3;+0:1]>>[NH;D2;+0:1],DM+ set
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,DANAZOL,ETHISTERONE,CHEMBL3305,P04278,pKd,8.2,8.77,=,=,Both,Both,DrugBank,4.22,3.88,46.26,37.3,3.737,3.318,secreted,[c;H0;D3;+0:1]1:[c;H0;D3;+0:2]:c:n:[o;H0;D2;+0:3]:1>>[CH2;D2;+0:2]-[C;H0;D3;+0:1]=[O;H0;D1;+0:3],DM+ set
CNC(C)Cc1ccccc1,CC(N)C(O)c1ccccc1,METHAMPHETAMINE,CATHINE,CHEMBL222,P23975,pKi,7.91,7.4,=,=,BindingDB,BindingDB,DrugBank,1.84,1.07,12.03,46.25,1.514,0.647,transporter  electrochemical  slc  slc06,C-[NH;D2;+0:1].[CH2;D2;+0:2]>>[CH;D3;+0:2].[NH2;D1;+0:1],DM- set
CNC(C)Cc1ccccc1,CC(N)C(O)c1ccccc1,METHAMPHETAMINE,CATHINE,CHEMBL238,Q01959,pKi,7.61,6.52,=,=,BindingDB,BindingDB,DrugBank,1.84,1.07,12.03,46.25,1.514,0.647,transporter  electrochemical  slc  slc06,C-[NH;D2;+0:1].[CH2;D2;+0:2]>>[CH;D3;+0:2].[NH2;D1;+0:1],DM- set
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccc(CO)nc2)cc1,ETORICOXIB,N/A,CHEMBL230,P35354,pIC50,6.29,4.48,=,<,Both,Both,Both,4.18,3.36,59.92,80.15,2.67,2.164,enzyme  reductase,[CH3;D1;+0:1].[O;H0;D1;+0:2]=[S;H0;D4;+0:3]>>[CH2;D2;+0:1]-[OH;D1;+0:2].[S;H0;D4;+0:3],DM- set
O=c1ccc2ccccc2o1,O=c1ccc2ccc(O)cc2o1,COUMARIN,UMBELLIFERONE,CHEMBL261,P00915,pKi,5.51,5.0,=,<,Both,Both,Both,1.79,1.5,30.21,50.44,1.579,1.382,enzyme  lyase,[cH;D2;+0:1]>>[c;H0;D3;+0:1],DM- set
O=c1ccc2ccccc2o1,O=c1ccc2ccc(O)cc2o1,COUMARIN,UMBELLIFERONE,CHEMBL4361,Q07820,pKi,5.39,5.42,=,=,Both,Both,Both,1.79,1.5,30.21,50.44,1.579,1.382,cytosolic other,[cH;D2;+0:1]>>[c;H0;D3;+0:1],DM- set
CCN(CC)C(=O)C1(c2ccccc2)CC1CN,CCNC(=O)C1(c2ccccc2)CC1CN,MILNACIPRAN,N/A,CHEMBL228,P31645,pIC50,6.42,5.0,=,<,Both,Both,DrugBank,1.77,1.04,46.33,55.12,1.648,0.715,transporter  electrochemical  slc  slc06,C-C-[N;H0;D3;+0:1]>>[NH;D2;+0:1],DM- set
CCCN(CCc1cccs1)C1CCc2c(O)cccc2C1,CCCNC1CCc2c(O)cccc2C1,ROTIGOTINE,N/A,CHEMBL219,P21917,pKi,7.26,7.12,=,=,BindingDB,BindingDB,DrugBank,4.27,2.25,23.47,32.26,3.393,1.619,membrane receptor  7tm1  smallmol  monoamine receptor  dopamine receptor,[N;H0;D3;+0:1]-C-C-c1:c:c:c:s:1>>[NH;D2;+0:1],DM+ set
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCNCC1,N/A,N/A,CHEMBL1868,P17948,pIC50,6.76,6.05,=,=,BindingDB,BindingDB,DrugBank,5.0,4.66,59.51,68.3,3.34,3.243,enzyme  kinase  protein kinase  tk  vegfr,C-[N;H0;D3;+0:1]>>[NH;D2;+0:1],DM- set
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCNCC1,N/A,N/A,CHEMBL279,P35968,pIC50,7.07,7.15,=,=,BindingDB,BindingDB,DrugBank,5.0,4.66,59.51,68.3,3.34,3.243,enzyme  kinase  protein kinase  tk  vegfr,C-[N;H0;D3;+0:1]>>[NH;D2;+0:1],DM+ set
CN(C)C(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,CNC(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,CARIPRAZINE,N/A,CHEMBL217,P14416,pKi,8.94,8.94,=,=,Both,BindingDB,DrugBank,4.34,3.99,38.82,47.61,3.685,3.451,membrane receptor  7tm1  smallmol  monoamine receptor  dopamine receptor,C-[N;H0;D3;+0:1]>>[NH;D2;+0:1],DM+ set
CN(C)C(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,CNC(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,CARIPRAZINE,N/A,CHEMBL224,P28223,pKi,7.18,7.53,=,=,Both,BindingDB,DrugBank,4.34,3.99,38.82,47.61,3.685,3.451,membrane receptor  7tm1  smallmol  monoamine receptor  serotonin receptor,C-[N;H0;D3;+0:1]>>[NH;D2;+0:1],DM+ set
CN(C)C(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,CNC(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,CARIPRAZINE,N/A,CHEMBL234,P35462,pKi,9.72,9.66,=,=,Both,BindingDB,DrugBank,4.34,3.99,38.82,47.61,3.685,3.451,membrane receptor  7tm1  smallmol  monoamine receptor  dopamine receptor,C-[N;H0;D3;+0:1]>>[NH;D2;+0:1],DM+ set
CN(C)C(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,NC(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,CARIPRAZINE,N/A,CHEMBL217,P14416,pKi,8.94,8.82,=,=,Both,BindingDB,DrugBank,4.34,3.73,38.82,61.6,3.685,3.262,membrane receptor  7tm1  smallmol  monoamine receptor  dopamine receptor,C-[N;H0;D3;+0:1]-C>>[NH2;D1;+0:1],DM+ set
CN(C)C(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,NC(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,CARIPRAZINE,N/A,CHEMBL234,P35462,pKi,9.72,9.59,=,=,Both,BindingDB,DrugBank,4.34,3.73,38.82,61.6,3.685,3.262,membrane receptor  7tm1  smallmol  monoamine receptor  dopamine receptor,C-[N;H0;D3;+0:1]-C>>[NH2;D1;+0:1],DM+ set
CC(Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,CC(Cc1cc(C(N)=O)c2c(ccn2CCCO)c1)NCCOc1ccccc1OCC(F)(F)F,SILODOSIN,N/A,CHEMBL223,P25100,pIC50,7.89,7.8,=,=,BindingDB,BindingDB,DrugBank,3.07,3.66,97.05,98.74,2.556,2.594,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,[CH2;D2;+0:1]-[CH2;D2;+0:2]-[N;H0;D3;+0:3]>>[cH;D2;+0:1]:[cH;D2;+0:2]:[n;H0;D3;+0:3],DM+ set
CC(Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,CC(Cc1cc(C(N)=O)c2c(ccn2CCCO)c1)NCCOc1ccccc1OCC(F)(F)F,SILODOSIN,N/A,CHEMBL229,P35348,pIC50,8.65,8.72,=,=,BindingDB,BindingDB,DrugBank,3.07,3.66,97.05,98.74,2.556,2.594,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,[CH2;D2;+0:1]-[CH2;D2;+0:2]-[N;H0;D3;+0:3]>>[cH;D2;+0:1]:[cH;D2;+0:2]:[n;H0;D3;+0:3],DM+ set
N#CC1CC2CC2N1C(=O)C(N)C12CC3CC(CC(O)(C3)C1)C2,N#CC1CC2CC2N1C(=O)C(N)C12CC3CC(O)(CC(O)(C3)C1)C2,SAXAGLIPTIN,N/A,CHEMBL284,P27487,pKi,9.15,8.63,=,=,Both,Both,DrugBank,1.16,0.27,90.35,110.58,0.087,0.563,enzyme  protease  serine  sc  s9b,[CH;D3;+0:1]>>[C;H0;D4;+0:1],DM- set
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,MIDOSTAURIN,CGP-52421,CHEMBL3788,O00444,pKd,7.18,6.07,=,=,Both,BindingDB,DrugBank,5.91,5.4,77.73,97.96,3.398,2.873,enzyme  kinase  protein kinase  other  plk,[CH2;D2;+0:1]>>[CH;D3;+0:1],DM- set
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,MIDOSTAURIN,CGP-52421,CHEMBL5552,O00506,pKd,5.74,5.0,=,<,Both,BindingDB,DrugBank,5.91,5.4,77.73,97.96,3.398,2.873,enzyme  kinase  protein kinase  ste  ste20  ysk,[CH2;D2;+0:1]>>[CH;D3;+0:1],DM- set
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,MIDOSTAURIN,CGP-52421,CHEMBL5659,O14730,pKd,6.38,5.89,=,=,Both,BindingDB,DrugBank,5.91,5.4,77.73,97.96,3.398,2.873,enzyme  kinase  protein kinase  atypical  rio  rio3,[CH2;D2;+0:1]>>[CH;D3;+0:1],DM- set
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,MIDOSTAURIN,CGP-52421,CHEMBL4722,O14965,pKd,7.05,5.0,=,<,Both,BindingDB,DrugBank,5.91,5.4,77.73,97.96,3.398,2.873,enzyme  kinase  protein kinase  other  aur,[CH2;D2;+0:1]>>[CH;D3;+0:1],DM- set
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,MIDOSTAURIN,CGP-52421,CHEMBL4355,O14976,pKd,6.42,6.37,=,=,Both,BindingDB,DrugBank,5.91,5.4,77.73,97.96,3.398,2.873,enzyme  kinase  protein kinase  other  nak,[CH2;D2;+0:1]>>[CH;D3;+0:1],DM- set
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,MIDOSTAURIN,CGP-52421,CHEMBL3476,O15111,pKd,5.42,5.0,=,<,BindingDB,BindingDB,DrugBank,5.91,5.4,77.73,97.96,3.398,2.873,enzyme  kinase  protein kinase  other,[CH2;D2;+0:1]>>[CH;D3;+0:1],DM- set
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,MIDOSTAURIN,CGP-52421,CHEMBL5836,O15197,pKd,5.51,5.0,=,<,BindingDB,BindingDB,DrugBank,5.91,5.4,77.73,97.96,3.398,2.873,membrane receptor,[CH2;D2;+0:1]>>[CH;D3;+0:1],DM- set
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,MIDOSTAURIN,CGP-52421,CHEMBL2534,O15530,pKd,6.77,7.82,=,=,Both,BindingDB,DrugBank,5.91,5.4,77.73,97.96,3.398,2.873,enzyme  kinase  protein kinase  agc  pdk1,[CH2;D2;+0:1]>>[CH;D3;+0:1],DM+ set
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,MIDOSTAURIN,CGP-52421,,O43172,pKd,7.26,5.0,=,<,BindingDB,BindingDB,DrugBank,5.91,5.4,77.73,97.96,3.398,2.873,missing,[CH2;D2;+0:1]>>[CH;D3;+0:1],DM- set
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,MIDOSTAURIN,CGP-52421,CHEMBL1163124,O43283,pKd,5.55,5.0,=,<,BindingDB,BindingDB,DrugBank,5.91,5.4,77.73,97.96,3.398,2.873,enzyme  kinase  protein kinase  tkl  mlk  lzk,[CH2;D2;+0:1]>>[CH;D3;+0:1],DM- set
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,MIDOSTAURIN,CGP-52421,CHEMBL5776,O43318,pKd,6.89,6.14,=,=,BindingDB,BindingDB,DrugBank,5.91,5.4,77.73,97.96,3.398,2.873,enzyme  kinase  protein kinase  tkl  mlk  tak1,[CH2;D2;+0:1]>>[CH;D3;+0:1],DM- set
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,MIDOSTAURIN,CGP-52421,CHEMBL5784,O60285,pKd,7.39,6.96,=,=,Both,BindingDB,DrugBank,5.91,5.4,77.73,97.96,3.398,2.873,enzyme  kinase  protein kinase  camk  camkl  nuak,[CH2;D2;+0:1]>>[CH;D3;+0:1],DM- set
